Date,KOSPI_index,Volume,Transaction_Amount,Market_Cap,Credit_Balance_KOSPI,Credit_Ratio_to_MarketCap,Credit_Change_Ratio_to_Transaction
2025-05-22,2593.67,35806.0,89655.0,21260119.0,10383768,0.4884153282491034,
2025-05-21,2625.58,37153.0,74411.0,21516055.0,10349223,0.4810000253299222,-0.4642458776256198
2025-05-20,2601.8,45699.0,76614.0,21335074.0,10320861,0.4837508883259556,-0.3701934372307933
2025-05-19,2603.42,31330.0,67524.0,21348538.0,10314544,0.4831499000072042,-0.0935519222794858
2025-05-16,2626.87,35971.0,80250.0,21544355.0,10236751,0.4751477127071105,-0.9693831775700936
2025-05-15,2621.36,33958.0,72540.0,21507487.0,10275507,0.4777641850951717,0.5342707471739729
2025-05-14,2640.57,39050.0,88932.0,21653840.0,10224374,0.4721737114525645,-0.5749673908154546
2025-05-13,2608.42,42246.0,87461.0,21393658.0,10289814,0.4809749693109986,0.7482192062747968
2025-05-12,2607.33,40975.0,85275.0,21359605.0,10247522,0.4797617746208322,-0.4959484022280856
2025-05-09,2577.27,48555.0,80349.0,21103829.0,10146178,0.480774270868097,-1.2612975892668234
2025-05-08,2579.48,47164.0,102701.0,21113597.0,10156702,0.4810502919043117,0.1024722251974177
2025-05-07,2573.8,54676.0,89354.0,21068647.0,10226886,0.4854078194959553,0.785460080130716
2025-05-02,2559.79,58549.0,83274.0,20958223.0,10161121,0.4848274111788962,-0.7897422965151187
2025-04-30,2556.61,48749.0,84356.0,20941291.0,10160895,0.4852086244348546,-0.002679121817061
2025-04-29,2565.42,54708.0,92152.0,21008816.0,10154141,0.4833276182722529,-0.0732919524264259
2025-04-28,2548.86,45410.0,78034.0,20872084.0,10179417,0.4877048693364783,0.3239100904733833
2025-04-25,2546.3,40353.0,87606.0,20857212.0,10077141,0.4831489942184027,-1.167454283953154
2025-04-24,2522.33,32794.0,72723.0,20661489.0,10128336,0.4902035860048615,0.7039726083907429
2025-04-23,2525.56,53812.0,77642.0,20684115.0,10020770,0.4844669448028112,-1.385409958527601
2025-04-22,2486.64,41668.0,61825.0,20368678.0,9971957,0.4895731082792904,-0.7895349777598059
2025-04-21,2488.42,42898.0,52397.0,20382707.0,9930822,0.4872180127987907,-0.7850640303834189
2025-04-18,2483.42,45099.0,56496.0,20339574.0,9887019,0.4860976439329555,-0.7753292268479184
2025-04-17,2470.41,60174.0,66063.0,20231883.0,9835763,0.4861516350208233,-0.7758654617562024
2025-04-16,2447.43,61317.0,67257.0,20048543.0,9802423,0.4889344327914502,-0.4957104836671276
2025-04-15,2477.41,56034.0,65108.0,20279967.0,9681165,0.477375776794903,-1.862413221109541
2025-04-14,2455.89,48862.0,66878.0,20111023.0,9484851,0.4716244917028835,-2.935404766888962
2025-04-11,2432.72,36970.0,76871.0,19918478.0,9625170,0.4832281864106283,1.825382784144866
2025-04-10,2445.06,67039.0,110554.0,20027864.0,9658973,0.4822767420429857,0.3057600810463665
2025-04-09,2293.7,69964.0,95603.0,18801727.0,9793716,0.5208944901710358,1.409401378617826
2025-04-08,2334.23,55702.0,91225.0,19128701.0,9841672,0.5144976650531575,0.5256892299260071
2025-04-07,2328.2,61950.0,105055.0,19075915.0,9807787,0.5141450357689265,-0.3225453333967921
2025-04-04,2465.42,69507.0,107428.0,20198966.0,9834305,0.4868717042248598,0.2468443981085006
2025-04-03,2486.7,48006.0,82675.0,20373348.0,9785909,0.4803289572239182,-0.5853764741457514
2025-04-02,2505.86,51560.0,73161.0,20535173.0,9856385,0.4799757469781238,0.9633001189158158
2025-04-01,2521.39,45339.0,69395.0,20660915.0,9976634,0.4828747419947277,1.7328193673895813
2025-03-31,2481.12,39159.0,82364.0,20335081.0,10082573,0.4958216296261618,1.2862294206206597
2025-03-28,2557.98,51356.0,71504.0,20970560.0,10131656,0.4831371217554514,0.6864371223987469
2025-03-27,2607.15,40331.0,76762.0,21376891.0,10217637,0.4779758197765989,1.120098486230166
2025-03-26,2643.94,50792.0,76553.0,21667579.0,10278840,0.474388024615025,0.7994853238932504
2025-03-25,2615.81,43928.0,83051.0,21435397.0,10267447,0.4789949540006187,-0.1371807684434865
2025-03-24,2632.07,37243.0,69241.0,21567103.0,10366091,0.48064364509225,1.424647246573562
2025-03-21,2643.13,49753.0,141881.0,21662400.0,10451212,0.4824586380087156,0.5999464339834086
2025-03-20,2637.1,45502.0,119893.0,21609682.0,10480543,0.48499293048366,0.2446431401332855
2025-03-19,2628.62,65333.0,118415.0,21530808.0,10456380,0.4856473570336979,-0.2040535405142929
2025-03-18,2612.34,55553.0,120346.0,21389184.0,10509310,0.4913375844538997,0.439815199508085
2025-03-17,2610.69,39657.0,119951.0,21373073.0,10464216,0.489598103183384,-0.3759368408766913
2025-03-14,2566.36,36233.0,99418.0,21002877.0,10453373,0.4977114801938801,-0.1090647568850711
2025-03-13,2573.64,42729.0,131129.0,21039690.0,10506329,0.4993575950976464,0.4038465938122002
2025-03-12,2574.82,40164.0,122848.0,21050914.0,10506064,0.4990787573404176,-0.0021571372753321
